Date,Open,High,Low,Close,Volume
2004-06-08 00:00:00+07:00,101,104,101,103,499150000
2004-06-09 00:00:00+07:00,103,106,101,104,294290000
2004-06-10 00:00:00+07:00,104,104,103,104,165590000
2004-06-11 00:00:00+07:00,103,104,103,104,135830000
2004-06-14 00:00:00+07:00,104,104,101,103,158540000
2004-06-15 00:00:00+07:00,101,106,101,106,297620000
2004-06-16 00:00:00+07:00,106,106,103,104,104270000
2004-06-17 00:00:00+07:00,103,103,101,103,350150000
2004-06-18 00:00:00+07:00,101,103,101,103,263260000
2004-06-21 00:00:00+07:00,103,103,101,103,331870000
2004-06-22 00:00:00+07:00,103,104,103,103,56870000
2004-06-23 00:00:00+07:00,104,104,103,104,469190000
2004-06-24 00:00:00+07:00,104,104,103,104,191310000
2004-06-25 00:00:00+07:00,104,106,104,106,154310000
2004-06-28 00:00:00+07:00,106,106,104,106,260860000
2004-06-29 00:00:00+07:00,106,107,106,107,123060000
2004-06-30 00:00:00+07:00,107,109,106,109,291260000
2004-07-01 00:00:00+07:00,119,119,115,117,203090000
2004-07-02 00:00:00+07:00,117,119,117,119,490800000
2004-07-06 00:00:00+07:00,120,123,119,123,826610000
2004-07-07 00:00:00+07:00,122,125,120,123,382570000
2004-07-08 00:00:00+07:00,123,125,122,123,284740000
2004-07-09 00:00:00+07:00,122,125,122,125,381140000
2004-07-12 00:00:00+07:00,125,128,123,125,478410000
2004-07-13 00:00:00+07:00,125,127,123,127,133420000
2004-07-14 00:00:00+07:00,125,125,122,123,243420000
2004-07-15 00:00:00+07:00,122,123,120,123,134890000
2004-07-16 00:00:00+07:00,122,125,122,125,140620000
2004-07-19 00:00:00+07:00,123,125,123,125,43940000
2004-07-20 00:00:00+07:00,123,125,123,125,168890000
2004-07-21 00:00:00+07:00,123,125,123,125,162420000
2004-07-22 00:00:00+07:00,123,125,123,125,61730000
2004-07-23 00:00:00+07:00,123,125,123,125,15670000
2004-07-26 00:00:00+07:00,123,123,120,123,517650000
2004-07-27 00:00:00+07:00,122,123,120,123,254000000
2004-07-28 00:00:00+07:00,123,123,122,123,172520000
2004-07-29 00:00:00+07:00,123,123,122,123,57950000
2004-07-30 00:00:00+07:00,123,123,122,123,224110000
2004-08-02 00:00:00+07:00,122,123,122,122,27010000
2004-08-03 00:00:00+07:00,122,125,122,123,326000000
2004-08-04 00:00:00+07:00,123,125,123,125,254660000
2004-08-05 00:00:00+07:00,123,125,123,125,133330000
2004-08-06 00:00:00+07:00,123,125,123,123,126340000
2004-08-09 00:00:00+07:00,122,122,119,120,364660000
2004-08-10 00:00:00+07:00,120,120,120,120,108000000
2004-08-11 00:00:00+07:00,122,122,122,122,144040000
2004-08-12 00:00:00+07:00,122,122,120,120,13100000
2004-08-13 00:00:00+07:00,120,122,120,120,113270000
2004-08-16 00:00:00+07:00,120,120,119,119,143450000
2004-08-18 00:00:00+07:00,120,122,120,122,236070000
2004-08-19 00:00:00+07:00,122,122,120,122,54470000
2004-08-20 00:00:00+07:00,120,122,120,120,6340000
2004-08-23 00:00:00+07:00,120,122,120,120,34770000
2004-08-24 00:00:00+07:00,120,120,119,120,343910000
2004-08-25 00:00:00+07:00,120,120,117,119,20510000
2004-08-26 00:00:00+07:00,117,119,117,119,26650000
2004-08-27 00:00:00+07:00,119,120,119,120,152960000
2004-08-30 00:00:00+07:00,119,119,117,117,217280000
2004-08-31 00:00:00+07:00,119,120,119,119,241830000
2004-09-01 00:00:00+07:00,119,123,119,123,785500000
2004-09-02 00:00:00+07:00,123,125,122,123,625450000
2004-09-03 00:00:00+07:00,123,127,123,125,380010000
2004-09-06 00:00:00+07:00,125,127,123,123,300650000
2004-09-07 00:00:00+07:00,123,123,122,122,380160000
2004-09-08 00:00:00+07:00,122,125,122,125,148760000
2004-09-09 00:00:00+07:00,123,123,119,122,1124760000
2004-09-10 00:00:00+07:00,122,125,120,123,807590000
2004-09-14 00:00:00+07:00,125,132,125,130,1532050000
2004-09-15 00:00:00+07:00,130,135,128,133,1588000000
2004-09-16 00:00:00+07:00,132,132,130,132,208620000
2004-09-17 00:00:00+07:00,130,132,127,132,302950000
2004-09-21 00:00:00+07:00,133,138,133,137,1901600000
2004-09-22 00:00:00+07:00,137,137,133,135,210400000
2004-09-23 00:00:00+07:00,133,137,133,135,623640000
2004-09-24 00:00:00+07:00,133,135,133,135,10480000
2004-09-27 00:00:00+07:00,133,135,130,132,174580000
2004-09-28 00:00:00+07:00,132,132,130,130,331780000
2004-09-29 00:00:00+07:00,130,132,130,132,244270000
2004-09-30 00:00:00+07:00,132,133,130,132,270690000
2004-10-01 00:00:00+07:00,132,133,132,133,447560000
2004-10-04 00:00:00+07:00,133,140,133,140,1251590000
2004-10-05 00:00:00+07:00,138,152,138,152,1496600000
2004-10-06 00:00:00+07:00,152,152,147,150,270080000
2004-10-07 00:00:00+07:00,148,148,143,148,412060000
2004-10-08 00:00:00+07:00,147,150,147,148,288950000
2004-10-11 00:00:00+07:00,148,152,147,150,350120000
2004-10-12 00:00:00+07:00,150,150,145,147,322910000
2004-10-13 00:00:00+07:00,148,150,147,148,168000000
2004-10-14 00:00:00+07:00,148,150,147,148,305480000
2004-10-15 00:00:00+07:00,147,150,147,150,301950000
2004-10-18 00:00:00+07:00,150,150,148,150,137550000
2004-10-19 00:00:00+07:00,150,150,147,147,412170000
2004-10-20 00:00:00+07:00,147,148,143,147,273750000
2004-10-21 00:00:00+07:00,147,147,143,145,170980000
2004-10-22 00:00:00+07:00,145,150,145,148,219850000
2004-10-25 00:00:00+07:00,148,150,147,150,36080000
2004-10-26 00:00:00+07:00,150,152,148,152,95260000
2004-10-27 00:00:00+07:00,152,160,152,158,668340000
2004-10-28 00:00:00+07:00,160,160,155,158,277050000
2004-10-29 00:00:00+07:00,158,158,157,158,126340000
2004-11-01 00:00:00+07:00,158,165,158,163,224080000
2004-11-02 00:00:00+07:00,163,171,163,168,389430000
2004-11-03 00:00:00+07:00,168,168,163,163,438210000
2004-11-04 00:00:00+07:00,163,163,158,163,370720000
2004-11-05 00:00:00+07:00,163,166,163,165,114460000
2004-11-08 00:00:00+07:00,165,165,161,165,38090000
2004-11-09 00:00:00+07:00,165,166,165,165,65960000
2004-11-10 00:00:00+07:00,166,176,165,175,289020000
